,index,Feature name,Coefficients,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,2.9501838663272686,Intercept,598.7058718617027,599.0,0.2941281382973102,598.0
1,1,grade:A,0.9832922923255373,grade,24.597841388913462,25.0,0.40215861108653783,25.0
2,2,grade:B,0.7958955916186885,grade,19.909963372610783,20.0,0.09003662738921747,20.0
3,3,grade:C,0.6118900574039747,grade,15.306918092360222,15.0,-0.30691809236022216,15.0
4,4,grade:D,0.4896218174341743,grade,12.248280495836626,12.0,-0.24828049583662626,12.0
5,5,grade:E,0.3333372800942867,grade,8.338698074586889,8.0,-0.3386980745868886,8.0
6,6,grade:F,0.1911914118920674,grade,4.782805744892909,5.0,0.21719425510709112,5.0
7,7,home_ownership:OWN,-0.04859651792112677,home_ownership,-1.2156806772584947,-1.0,0.2156806772584947,-1.0
8,8,home_ownership:OTHER_NONE_RENT,-0.10429197401400614,home_ownership,-2.608946958046426,-3.0,-0.3910530419535738,-3.0
9,9,verification_status:Source Verified,-0.28140246455401036,verification_status,-7.039507218324933,-7.0,0.03950721832493276,-7.0
10,10,verification_status:Verified,-0.45941260395220035,verification_status,-11.492572912737407,-11.0,0.49257291273740655,-11.0
11,11,purpose:debt_consolidation,-0.3154966424846883,purpose,-7.892400287425246,-8.0,-0.10759971257475431,-8.0
12,12,purpose:credit_card,-0.22194181112342337,purpose,-5.552051521395184,-6.0,-0.44794847860481557,-6.0
13,13,purpose:educ__ren_en__sm_b__mov,-0.481022324871127,purpose,-12.033157326722078,-12.0,0.03315732672207794,-12.0
14,14,purpose:vacation__house__wedding__med__oth,0.004114155980078275,purpose,0.10291889506005737,0.0,-0.10291889506005737,0.0
15,15,term:36,-0.09390712686799607,term,-2.3491617192731957,-2.0,0.3491617192731957,-2.0
16,16,int_rate:<7.071,0.9532384656635887,int_rate,23.846020931120467,24.0,0.15397906887953283,24.0
17,17,int_rate:7.071-10.374,0.28299665255808115,int_rate,7.079387103456036,7.0,-0.07938710345603628,7.0
18,18,int_rate:10.374-13.676,0.054420940316315315,int_rate,1.3613832515358202,1.0,-0.3613832515358202,1.0
19,19,int_rate:13.676-15.74,0.03745284852400136,int_rate,0.9369128943109695,1.0,0.06308710568903053,1.0
20,20,int_rate:15.74-20.281,-0.013490169441331157,int_rate,-0.337467354129908,-0.0,0.337467354129908,-0.0
21,21,annual_inc:missing,0.5681027448780409,annual_inc,14.21154352595091,14.0,-0.2115435259509102,14.0
22,22,"annual_inc:<28,555",0.4913704725745249,annual_inc,12.292024499651118,12.0,-0.2920244996511183,12.0
23,23,"annual_inc:28,555-37,440",0.42747445348776764,annual_inc,10.693614591279033,11.0,0.306385408720967,11.0
24,24,"annual_inc:37,440-61,137",0.40500407562138424,annual_inc,10.131500156923982,10.0,-0.1315001569239822,10.0
25,25,"annual_inc:61,137-81,872",0.3704387863022144,annual_inc,9.266821860479693,9.0,-0.26682186047969303,9.0
26,26,"annual_inc:81,872-102,606",0.3246474416612649,annual_inc,8.121314831436246,8.0,-0.121314831436246,8.0
27,27,"annual_inc:102,606-120,379",0.18686607524808216,annual_inc,4.674603996996789,5.0,0.3253960030032106,5.0
28,28,"annual_inc:120,379-150,000",0.14919193902078043,annual_inc,3.7321554141936164,4.0,0.2678445858063836,4.0
29,29,dti:<=1.6,0.5028479459201265,dti,12.57914265475522,13.0,0.42085734524478013,13.0
30,30,dti:1.6-5.599,0.48687694062854703,dti,12.17961521205082,12.0,-0.17961521205081965,12.0
31,31,dti:5.599-10.397,0.333982970898872,dti,8.354850545343988,8.0,-0.35485054534398763,8.0
32,32,dti:10.397-15.196,0.22851458976693,dti,5.716474824434651,6.0,0.28352517556534895,6.0
33,33,dti:15.196-19.195,0.10639212435386244,dti,2.6614838947801425,3.0,0.33851610521985753,3.0
34,34,dti:19.195-24.794,0.036153778081268025,dti,0.9044156104892825,1.0,0.09558438951071746,1.0
35,35,dti:24.794-35.191,0.020345918476579267,dti,0.5089693873375467,1.0,0.4910306126624533,1.0
36,36,inq_last_6mths:missing,0.137505158216214,inq_last_6mths,3.4398012659699555,3.0,-0.4398012659699555,3.0
37,37,inq_last_6mths:0,0.38915693840743837,inq_last_6mths,9.735071373031984,10.0,0.26492862696801645,10.0
38,38,inq_last_6mths:1-2,0.34605941971234777,inq_last_6mths,8.656952549777134,9.0,0.34304745022286554,9.0
39,39,inq_last_6mths:3-4,0.24909737602849746,inq_last_6mths,6.2313696484411905,6.0,-0.23136964844119046,6.0
40,40,revol_util:missing,-0.07967590912812941,revol_util,-1.9931564505769184,-2.0,-0.00684354942308163,-2.0
41,41,revol_util:<0.1,-0.16457889638499737,revol_util,-4.117072431907488,-4.0,0.11707243190748784,-4.0
42,42,revol_util:0.1-0.2,-0.545248472530568,revol_util,-13.639825664792232,-14.0,-0.360174335207768,-14.0
43,43,revol_util:0.2-0.3,0.45733493713127643,revol_util,11.440598419172298,11.0,-0.44059841917229825,11.0
44,44,revol_util:0.3-0.4,-0.12217689964199113,revol_util,-3.0563526453311596,-3.0,0.05635264533115958,-3.0
45,45,revol_util:0.4-0.5,0.3179217589069432,revol_util,7.953066510042727,8.0,0.04693348995727309,8.0
46,46,revol_util:0.5-0.6,0.425331126198653,revol_util,10.639997548703134,11.0,0.36000245129686625,11.0
47,47,revol_util:0.6-0.7,-0.2443267518363926,revol_util,-6.112028677176199,-6.0,0.11202867717619913,-6.0
48,48,revol_util:0.7-0.8,0.0382341096175841,revol_util,0.956456764036448,1.0,0.04354323596355203,1.0
