"CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
2,0,6778,0.75,0.46545,9833,8792,11756,1036.5,0.6111,37
2,0,8251,0.4257,0.3684,14425,8792,9766,1062,0.6105,499
3,0,11320,0.7167,0.46545,4811.5,8792,12644,1036.5,0.2652,129
2,0,9451,0.2732,0.2,11351,8792,12443,802,0.8214,862
3,0,7364,0.7167,0.602,9500,8792,14055,1036.5,0.7045,4330
3,0,17632,0.7167,0.1477,12347.5,8792,8580,1036.5,1,99
3,0,1998,0.7167,0.46545,9833,8792,6961,1036.5,0,28
2,0,5082,0.7167,0.4,9833,8792,9956,1036.5,0.2533,194
3,0,0,0.7167,0.46545,7139,8792,8212,1036.5,0.759,290
3,0,4490,0.7167,0.46545,6500,8792,11616,1036.5,0.4,98
2,0,18009,1,0.6667,9833,8792,2035,1036.5,0,77
2,0,7156,0.4847,0.3889,5500,8792,11766,863,0.6554,289
3,0,5267,0.7167,0.46545,7885,8792,14733,1036.5,0.3083,79
3,0,6246,0.7167,0.46545,6864,8792,9449,1036.5,0.499,528
3,0,518,0.7167,0.46545,9833,8792,6646,1036.5,0,53
2,0,5603,0.5137,0.1867,10250,8792,13146,896,0.6191,543
3,0,4004,0.7167,0.46545,8900,8792,10946,1036.5,0.9756,68
2,0,8333,0.4783,0.4571,14335,8792,12333,935,0.6385,709
3,0,7542,0.7167,0.46545,5830,8792,11715,1036.5,0.4106,85
3,0,2844,0.7167,0.46545,8952,8792,11238,1036.5,0.3401,188
3,0,2728,0.7167,0.46545,9511,8792,13527,1036.5,1,57
3,0,7734,0.7167,0.46545,13209,8792,8980,1036.5,0.9143,25
3,0,4015,0.7167,0.46545,11497,8792,12259,1036.5,0.7342,36
3,0,4268,0.7167,0.46545,7136,8792,9676,1036.5,0.5,45
3,0,2530,0.7167,0.46545,8062.5,8792,7359,1036.5,1,40
3,0,2860,0.7167,0.46545,7500,8792,11080,1036.5,0.6066,33
3,0,12209,0.7167,0.46545,9776,8792,8824,1036.5,0.6048,395
3,0,5346,0.7167,0.46545,9833,8792,5995,1036.5,0,83
3,0,7316,0.7167,0.46545,3500,8792,6961,1036.5,0.6283,84
3,0,4422,0.7167,0.46545,9833,8792,5697,1036.5,0,125
3,0,6502,0.7167,0.46545,3500,8792,6262,1036.5,0.3611,79
3,0,8954,0.7167,0.46545,6406,8792,13209,1036.5,0.6397,81
3,0,1856,0.7167,0.46545,7500,8792,11238,1036.5,0.4574,58
3,0,5444,0.7167,0.46545,7917,8792,9326,1036.5,0.4891,147
3,0,13304,0.7167,0.46545,8100,8792,12328,1036.5,0.6748,53
3,0,8055,0.7167,0.46545,5125,8792,11226,1036.5,0.6923,44
3,0,16156,0.7167,0.46545,9500,8792,9725,1036.5,0.4419,33
3,0,13880,0.7167,0.46545,10182,8792,11772,1036.5,0.7774,617
2,0,3881,0.7167,0.46545,5250,8792,11160,1036.5,0.6624,209
3,0,7083,0.7167,0.46545,7917,8792,10516,1036.5,0.4436,86
3,0,2219,0.7167,0.46545,9833,8792,8077,1036.5,0.1416,78
3,0,12049,0.7167,0.46545,9700,8792,9865,1036.5,0.7547,70
3,0,7184,0.7167,0.46545,9833,8792,13157,1036.5,0.2917,49
2,0,8944,0.7167,0.255,9833,8792,8405,1036.5,0,1598
2,0,2174,0.5455,0.46545,2737.5,8792,12154,1036.5,0.336,64
3,0,10548,0.7167,0.46545,9833,8792,11189,1036.5,0.375,45
2,0,13088,1,0.5,9833,8792,7397,1036.5,0,67
3,0,8797,0.7167,0.46545,9833,8792,8713,1036.5,0.6667,14
3,0,5859,0.7167,0.46545,5500,8792,14572,1036.5,0.503,189
3,0,4389,0.7167,0.46545,9833,8792,969,1036.5,0.2308,9
3,0,8487,0.7167,0.46545,9500,8792,11230,1036.5,0.6265,53
3,0,7104,0.7167,0.46545,9833,8792,11540,1036.5,0.3889,77
3,0,10141,0.7167,0.46545,7312,8792,10996,1036.5,0.687,70
3,0,4714,0.7167,0.46545,6500,8792,10385,1036.5,0.5917,86
3,0,7060,0.7167,0.46545,9500,8792,12102,1036.5,0.4936,116
3,0,1198,0.7167,0.46545,3300,8792,2435,1036.5,0,39
3,0,2285,0.7167,0.46545,5500,8792,8051,1036.5,0.1538,82
3,0,8238,0.7167,0.46545,6569,8792,13243,1036.5,0.6985,194
3,0,6159,0.7167,0.46545,10000,8792,10874,1036.5,0.4839,96
3,0,5689,0.7167,0.46545,7000,8792,8878,1036.5,0,62
2,0,3814,0.7167,0.8,13000,8792,7585,1036.5,1,63
3,0,2863,0.7167,0.46545,9833,8792,1529,1036.5,0,87
3,0,6751,0.7167,0.46545,9500,8792,12450,1036.5,0.5634,37
3,0,7789,0.7167,0.46545,4435,8792,8401,1036.5,0.2095,51
3,0,7693,0.7167,0.46545,9100,8792,11024,1036.5,0.7,39
3,0,4905,0.7167,0.46545,5500,8792,8640,1036.5,0.2074,89
2,0,7261,0.6887,0.6054,13125,8792,11581,1036.5,0.7359,1007
3,0,5955,0.7167,0.46545,8100,8792,13917,1036.5,0.5172,192
