"OPEID","INSTNM","CITY","STABBR","ZIP","CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
1303906,"South University-Montgomery","Montgomery","AL","36116",3,0,14726,0.4829,0.0784,9500,8792,23152,1036.5,0.7543,599
2576900,"Charter College-Anchorage","Anchorage","AK","99508",3,0,20340,0.7167,0.3534,9500,8792,17691,1036.5,0.4152,2191
1084700,"Arizona Automotive Institute","Glendale","AZ","85301-3579",3,0,11919,0.7167,0.46545,9500,8792,28404,1036.5,0.7971,505
2218800,"Brookline College-Phoenix","Phoenix","AZ","85021",3,0,25798,0.7167,0.4664,9500,8792,25566,1036.5,0.6346,828
2533200,"Frank Lloyd Wright School of Architecture","Scottsdale","AZ","85261-4430",2,0,19359,0.7167,0.46545,9833,8792,18259,1036.5,0.3333,2
732990,"ITT Technical Institute-Tucson","Tucson","AZ","85704-5829",3,0,21110,0.8388,0.2182,14656.5,8792,22313,1036.5,0.7674,409
732911,"ITT Technical Institute-Tempe","Tempe","AZ","85282",3,0,21842,0.8388,0.25,14656.5,8792,22617,1036.5,0.7983,498
732971,"ITT Technical Institute-Rancho Cordova","Rancho Cordova","CA","95670-6034",3,0,19887,0.8388,0.4167,14656.5,8792,23022,1036.5,0.7816,510
2342400,"The Academy of Radio and TV Broadcasting","Huntington Beach","CA","92647",3,0,14743,0.7167,0.46545,9200,8792,20059,1036.5,0.8987,44
2222000,"American Film Institute Conservatory","Los Angeles","CA","90027-1625",2,0,26351,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
2241800,"American Career College-Los Angeles","Los Angeles","CA","90004",3,0,21889,0.7167,0.46545,9500,8792,25881,1036.5,0.534,1770
1112100,"Everest College-Hayward","Hayward","CA","94541",3,0,13508,0.7167,0.46545,9500,8792,26407,1036.5,0.4936,170
902200,"Associated Technical College-Los Angeles","Los Angeles","CA","90017-1604",3,0,16678,0.7167,0.46545,8963,8792,18373,1036.5,0.3074,404
2237200,"Phillips Graduate Institute","Chatsworth","CA","91311",2,0,20047,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
113100,"California Institute of Technology","Pasadena","CA","91125",2,0,15679,0.1055,0.9307,14583,8792,25667,1534,0.2508,977
1111700,"Alliant International University","San Diego","CA","92131-1799",2,0,20681,0.4922,0.46545,2500,8792,19768,1036.5,0.381,254
131900,"University of California-San Francisco","San Francisco","CA","94143-0244",1,0,18422,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
2267600,"Sofia University","Palo Alto","CA","94303",2,0,24037,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,20
1203100,"San Diego Christian College","El Cajon","CA","92019-1157",2,0,18089,0.492,0.4125,11806,8792,25314,986,0.8793,889
117700,"Cogswell College","Sunnyvale","CA","94089",3,0,19219,0.7784,0.3125,11931,8792,22831,1036.5,0.6292,457
2091200,"Elegance International","Hollywood","CA","90028-6106",3,0,19821,0.7167,0.46545,6333,8792,29944,1036.5,0.7413,205
2609000,"Emperor's College of Traditional Oriental Medicine","Santa Monica","CA","90403",3,0,21998,0.7167,0.46545,4809,8792,18259,1036.5,0.5926,432.5
903200,"Empire College School of Business","Santa Rosa","CA","95403-2126",3,0,16292,0.7167,0.46545,13528,8792,15861,1036.5,0.5371,412
