"OPEID","INSTNM","CITY","STABBR","ZIP","CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
100700,"Central Alabama Community College","Alexander City","AL","35010",1,0,2371,0.7167,0.46545,7554,6407,18259,1036.5,0.4777,1779
100800,"Athens State University","Athens","AL","35611",1,0,5094,0.7167,0.46545,14000,8792,18259,1036.5,0.6277,2999
1218200,"Chattahoochee Valley Community College","Phenix City","AL","36869",1,0,2056,0.7167,0.46545,4569,1873,18259,1036.5,0.1948,1769
101500,"Enterprise State Community College","Enterprise","AL","36330-1300",1,0,2129,0.7167,0.46545,6000,5048,18259,1036.5,0.2673,1984
106000,"James H Faulkner State Community College","Bay Minette","AL","36507-2698",1,0,2187,0.7167,0.46545,5500,7404,18259,1036.5,0.4042,4182
101700,"Gadsden State Community College","Gadsden","AL","35903",1,0,1643,0.7167,0.46545,333,4565,18259,1036.5,0,5480
101800,"George C Wallace State Community College-Dothan","Dothan","AL","36303-9234",1,0,1927,0.7167,0.46545,9833,2681,18259,1036.5,0,4293
787100,"George C Wallace State Community College-Hanceville","Hanceville","AL","35077-2000",1,0,2707,0.7167,0.46545,8250,6628,18259,1036.5,0.4174,4904
569900,"George C Wallace State Community College-Selma","Selma","AL","36703-2808",1,0,1312,0.7167,0.46545,9833,8712,18259,1036.5,0,1604
526000,"J F Drake State Community and Technical College","Huntsville","AL","35811",1,0,1348,0.7167,0.46545,9833,7163,18259,1036.5,0,1040
102100,"Jefferson Davis Community College","Brewton","AL","36426",1,0,1084,0.7167,0.46545,2000,3796,18259,1036.5,0,1037
102200,"Jefferson State Community College","Birmingham","AL","35215-3098",1,0,2670,0.7167,0.46545,5057,8799,18259,1036.5,0.2323,7494
101300,"John C Calhoun State Community College","Tanner","AL","35671",1,0,2985,0.7167,0.46545,5500,5278,18259,1036.5,0.2773,9970
105900,"Lawson State Community College-Birmingham Campus","Birmingham","AL","35221-1717",1,0,1576,0.7167,0.46545,9833,7406,18259,1036.5,0,2894
898800,"Lurleen B Wallace Community College","Andalusia","AL","36420-1418",1,0,1757,0.7167,0.46545,9833,8041,18259,1036.5,0,1372
