"OPEID","INSTNM","CITY","STABBR","ZIP","CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
105100,"The University of Alabama","Tuscaloosa","AL","35487-0166",1,0,12198,0.5655,0.6665,17750,20916,18259,1171,0.4148,28692
100900,"Auburn University","Auburn University","AL","36849",1,0,13186,0.8274,0.6792,18250,17541,18259,1215,0.361,19761
104700,"Troy University","Troy","AL","36082-0001",1,0,8133,0.6821,0.3466,17750,11168,18259,990,0.6414,16208
1146200,"University of Alaska Anchorage","Anchorage","AK","99508",1,0,5732,0.7167,0.2547,11336.5,8160,18259,1036.5,0.286,13116
108100,"Arizona State University-Tempe","Tempe","AZ","85287",1,0,11705,0.7626,0.5947,16250,11480,18259,1145,0.4784,38480
108300,"University of Arizona","Tucson","AZ","85721-0066",1,0,12051,0.7692,0.6139,13500,13617,18259,1106,0.3962,31399
107600,"Glendale Community College","Glendale","AZ","85302",1,0,1473,0.7167,0.46545,4474,7763,18259,1036.5,0.1951,16623
107400,"Grand Canyon University","Phoenix","AZ","85017",3,0,10748,0.548,0.3036,11644,8792,28309,1036.5,0.6248,34643
107700,"Mesa Community College","Mesa","AZ","85202",1,0,1815,0.7167,0.46545,5065,8868,18259,1036.5,0.2546,20120
108200,"Northern Arizona University","Flagstaff","AZ","86011-4132",1,0,6697,0.9137,0.4924,15000,15011,18259,1050,0.5571,22011
726600,"Pima Community College","Tucson","AZ","85709-1275",1,0,1598,0.7167,0.46545,5698,2759,18259,1036.5,0.1599,26600
110800,"University of Arkansas","Fayetteville","AR","72701",1,0,6624,0.5858,0.601,14990,11861,18259,1156,0.4084,20776
123200,"American River College","Sacramento","CA","95841-4286",1,0,451,0.7167,0.46545,8435,6426,18259,1036.5,0.0686,27332
111800,"Bakersfield College","Bakersfield","CA","93305-1299",1,0,482,0.7167,0.46545,8243.5,2898,18259,1036.5,0.0401,15854
114300,"California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA","93407",1,0,7908,0.3123,0.6972,17500,17112,18259,1242,0.3482,18664
114200,"California State University-San Bernardino","San Bernardino","CA","92407-2397",1,0,5417,0.5831,0.4112,16431,7619,18259,888,0.4698,15887
114400,"California State Polytechnic University-Pomona","Pomona","CA","91768",1,0,4577,0.5218,0.5237,15703.5,12135,18259,1070,0.3883,20857
114600,"California State University-Chico","Chico","CA","95929-0150",1,0,5091,0.7161,0.5605,14889.5,15184,18259,1014,0.452,15106
114700,"California State University-Fresno","Fresno","CA","93740",1,0,3990,0.5815,0.4859,14500,7093,18259,920,0.3628,19911
113700,"California State University-Fullerton","Fullerton","CA","92831-3599",1,0,6147,0.4579,0.5347,12900.5,9034,18259,1021,0.3327,33000
113800,"California State University-East Bay","Hayward","CA","94542",1,0,6821,0.6872,0.3808,12500,12535,18259,910,0.3844,12079
113900,"California State University-Long Beach","Long Beach","CA","90840-0115",1,0,5322,0.3082,0.6033,14494,9699,18259,1012,0.393,30440
114000,"California State University-Los Angeles","Los Angeles","CA","90032",1,0,4287,0.6752,0.3565,12000.5,5431,18259,871,0.3924,19525
115300,"California State University-Northridge","Northridge","CA","91330",1,0,5994,0.4624,0.4575,12500,11439,18259,918,0.3636,33581
115000,"California State University-Sacramento","Sacramento","CA","95819-2694",1,0,5274,0.6968,0.4285,15000,10614,18259,945,0.4153,25991
131200,"University of California-Berkeley","Berkeley","CA","94720",1,0,16733,0.18,0.9103,14480,13769,18259,1350,0.3021,25951
131300,"University of California-Davis","Davis","CA","95616-8678",1,0,13500,0.4521,0.8133,13626.5,15054,18259,1192,0.4467,26483
131400,"University of California-Irvine","Irvine","CA","92697",1,0,13713,0.4239,0.8585,15500,11944,18259,1122,0.4418,23517
131500,"University of California-Los Angeles","Los Angeles","CA","90095-1405",1,0,15123,0.2199,0.9031,15200,13723,18259,1289,0.374,28667
131600,"University of California-Riverside","Riverside","CA","92521",1,0,11937,0.62,0.6617,17000,11473,18259,1078,0.5688,18612
131700,"University of California-San Diego","La Jolla","CA","92093",1,0,13805,0.375,0.858,18463,14421,18259,1276,0.4731,23792
132000,"University of California-Santa Barbara","Santa Barbara","CA","93106",1,0,13553,0.4444,0.807,15000,14142,18259,1212,0.438,19362
132100,"University of California-Santa Cruz","Santa Cruz","CA","95064-1011",1,0,11066,0.5991,0.7267,16500,15107,18259,1087,0.5586,15695
890300,"College of the Canyons","Santa Clarita","CA","91355-1899",1,0,963,0.7167,0.46545,6500,5954,18259,1036.5,0.0446,16784
