"OPEID","INSTNM","CITY","STABBR","ZIP","CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
107000,"Thunderbird School of Global Management","Glendale","AZ","85306-6000",2,0,62758,0.7167,0.46545,6280,8792,18259,1036.5,0,2
147902,"Embry-Riddle Aeronautical University-Prescott","Prescott","AZ","86301-3720",2,0,35302,0.7814,0.5915,16500,8792,35470,1171,0.5596,1802
2099200,"American Conservatory Theater","San Francisco","CA","94108-5834",2,0,31619,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,0
394700,"University of California-Hastings College of Law","San Francisco","CA","94102-4978",1,0,29404,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
1310300,"California Western School of Law","San Diego","CA","92101-3046",2,0,38524,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
116900,"Claremont Graduate University","Claremont","CA","91711-6160",2,0,31918,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
117000,"Claremont McKenna College","Claremont","CA","91711-6400",2,0,28851,0.1173,0.9254,12086,8792,22957,1397,0.0862,1311
2482700,"Western University of Health Sciences","Pomona","CA","91766-1854",2,0,40582,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
3126800,"Pacifica Graduate Institute","Carpinteria","CA","93013",3,0,28749,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
121800,"Loma Linda University","Loma Linda","CA","92350",2,0,30419,0.7167,0.46545,20000,8792,18259,1036.5,0.6732,1101
117200,"Pitzer College","Claremont","CA","91711-6101",2,0,44463,0.1451,0.8214,14824,8792,25807,1036.5,0.3625,1081
1044100,"Pardee RAND Graduate School","Santa Monica","CA","90407-2138",2,0,39812,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
701200,"Samuel Merritt University","Oakland","CA","94609",2,0,27755,0.7167,0.46545,18750,8792,18259,1036.5,0.8545,506
117400,"Scripps College","Claremont","CA","91711-3905",2,0,28151,0.357,0.8414,12500,8792,26057,1364,0.3683,980
123000,"Marshall B Ketchum University","Fullerton","CA","92831-1699",2,0,32514,0.7167,0.46545,8500,8792,18259,1036.5,0.5926,432.5
129500,"Southwestern Law School","Los Angeles","CA","90010-1106",2,0,35201,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
1085400,"Thomas Jefferson School of Law","San Diego","CA","92101",2,0,42551,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
2253700,"Intellitec College-Colorado Springs","Colorado Springs","CO","80909-6096",3,0,56785,0.7167,0.46545,15473,8792,13930,1036.5,0.7638,815
280301,"Rensselaer Hartford Graduate Center Inc","Hartford","CT","6120",2,0,35379,0.412,0.46545,27000,8792,18259,1036.5,0.5926,432.5
144500,"Georgetown University","Washington","DC","20057-0001",2,0,35085,0.1697,0.9245,17125,8792,27801,1398,0.2823,7261
2284300,"Interactive College of Technology-Chamblee","Chamblee","GA","30341",3,0,41564,0.7167,0.46545,6337.5,8792,11605,1036.5,0.3622,379
2284308,"Interactive College of Technology-Morrow","Morrow","GA","30260",3,0,38561,0.7167,0.46545,6337.5,8792,13075,1036.5,0.6154,36
3173300,"Atlanta's John Marshall Law School","Atlanta","GA","30309",3,0,56751,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
2482100,"Morehouse School of Medicine","Atlanta","GA","30310-1495",2,0,28013,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
2068100,"Adler School of Professional Psychology","Chicago","IL","60602",2,0,30148,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
165700,"Midwestern University-Downers Grove","Downers Grove","IL","60515-5514",2,0,40619,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
165900,"Rosalind Franklin University of Medicine and Science","North Chicago","IL","60064-3095",2,0,32644,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
168900,"Illinois College of Optometry","Chicago","IL","60616-3878",2,0,36024,0.7167,0.46545,4500,8792,18259,1036.5,0.5926,432.5
176500,"University of Saint Mary of the Lake","Mundelein","IL","60060-1174",2,0,54824,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
185500,"Des Moines University-Osteopathic Medical Center","Des Moines","IA","50312",2,0,30097,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
202200,"Notre Dame Seminary Graduate School of Theology","New Orleans","LA","70118-4391",2,0,33703,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
1138500,"College of the Atlantic","Bar Harbor","ME","4609",2,0,35983,0.7367,0.6905,15901,8792,21972,1036.5,0.5421,356
203600,"Bates College","Lewiston","ME","4240",2,0,41018,0.2417,0.9299,16425,8792,24936,1036.5,0.255,1791
203800,"Bowdoin College","Brunswick","ME","4011",2,0,30863,0.1495,0.9326,18000,8792,18613,1423,0.1963,1789
203900,"Colby College","Waterville","ME","04901-8840",2,0,30380,0.2604,0.9251,18500,8792,23428,1343,0.205,1820
734100,"International Beauty School","Cumberland","MD","21502",3,0,27684,0.7167,0.46545,13000,8792,16144,1036.5,1,193
4143200,"Hult International Business School","Cambridge","MA","02141-1805",2,0,34997,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
212900,"The Boston Conservatory","Boston","MA","2215",2,0,48657,0.3645,0.6716,25852.5,8792,43952,1036.5,0.5551,545
2274300,"Conway School of Landscape Design","Conway","MA","01341-0179",2,0,30140,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
215500,"Harvard University","Cambridge","MA","2138",2,0,27867,0.0584,0.9747,7500,8792,14049,1501,0.029,7278
215700,"Hebrew College","Newton Centre","MA","02459-2237",2,0,30408,0.7167,0.46545,9833,8792,18259,1036.5,0.2857,4
217800,"Massachusetts Institute of Technology","Cambridge","MA","02139-4307",2,0,28012,0.0815,0.9307,13000,8792,21816,1503,0.1992,4510
216400,"New England College of Optometry","Boston","MA","2115",2,0,35829,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
891600,"New England School of Law","Boston","MA","2116",2,0,34102,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
224800,"Cranbrook Academy of Art","Bloomfield Hills","MI","48304",2,0,28484,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
826700,"Northwest Technical Institute","Eagan","MN","55121-1576",3,0,31678,0.7167,0.46545,9833,8792,18259,1036.5,0.5366,432.5
2056100,"Four Rivers Career Center","Washington","MO","63090-4235",1,0,32562,0.7167,0.46545,5500,18195,18259,1036.5,0.6389,41
247400,"Kansas City University of Medicine and Biosciences","Kansas City","MO","64106-1453",2,0,41127,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
257300,"Dartmouth College","Hanover","NH","03755-3529",2,0,28107,0.0978,0.947,10695.5,8792,29597,1446,0.2454,4154
2097900,"University of New Hampshire-School of Law","Concord","NH","03301-4197",2,0,28198,0.7167,0.46545,1400,8792,18259,1036.5,0.5926,432.5
288600,"Albany Law School","Albany","NY","12208",2,0,34364,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
288700,"Albany Medical College","Albany","NY","12208-3479",2,0,41937,0.7167,0.46545,4160,8792,18259,1036.5,0.5926,432.5
2171900,"The Ailey School","New York","NY","10019-4402",2,0,28871,0.1784,0.46545,9833,8792,27027,1036.5,0.2959,91
266900,"Bank Street College of Education","New York","NY","10025",2,0,54409,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
270800,"Barnard College","New York","NY","10027-6598",2,0,30150,0.2053,0.8966,16000,8792,26487,1340,0.3183,2486
267700,"Brooklyn Law School","Brooklyn","NY","11201",2,0,29259,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
270100,"Colgate University","Hamilton","NY","13346-1398",2,0,29302,0.2638,0.9086,15062.5,8792,17711,1370,0.2698,2872
270700,"Columbia University in the City of New York","New York","NY","10027",2,0,31924,0.0742,0.9329,17125,8792,22672,1471,0.2659,7970
4119600,"Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary","Far Rockaway","NY","11691",2,0,30525,1,0.4348,9833,8792,18259,1036.5,0,57
272800,"Hamilton College","Clinton","NY","13323",2,0,30431,0.2719,0.9295,15500,8792,19961,1384,0.3445,1909
702600,"Icahn School of Medicine at Mount Sinai","New York","NY","10029-6574",2,0,27476,0.7167,0.46545,13000,8792,18259,1036.5,0.5926,432.5
278300,"New York Law School","New York","NY","10013-2921",2,0,43369,0.7167,0.46545,2862,8792,18259,1036.5,0.5926,432.5
278400,"New York Medical College","Valhalla","NY","10595",2,0,38619,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
278200,"New York Institute of Technology","Old Westbury","NY","11568-8000",2,0,28199,0.7407,0.4705,17250,8792,22441,1039,0.5407,4307
397900,"Teachers College at Columbia University","New York","NY","10027",2,0,29413,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
2454400,"Northeast Ohio Medical University","Rootstown","OH","44272-0095",1,0,32181,0.7167,0.46545,2950,8792,18259,1036.5,0.5926,432.5
1230900,"University of Western States","Portland","OR","97230-3099",2,0,29324,0.7167,1,6450,8792,18259,1036.5,0.7167,43
2536600,"Commonwealth Technical Institute","Johnstown","PA","15905-3092",2,0,52706,0.7167,0.46545,9833,8792,25810,1036.5,0,206
337800,"University of Pennsylvania","Philadelphia","PA","19104-6303",2,0,36792,0.1224,0.9569,19500,8792,22948,1442,0.2328,10606
335200,"Philadelphia College of Osteopathic Medicine","Philadelphia","PA","19131",2,0,32107,0.7167,0.46545,2000,8792,18259,1036.5,0.5926,432.5
2192800,"The Restaurant School at Walnut Hill College","Philadelphia","PA","19104",3,0,37282,0.7167,0.5027,12000,8792,31790,1036.5,0.7606,427
1239300,"Thomas Jefferson University","Philadelphia","PA","19107",2,0,29325,0.7167,0.46545,12500,8792,18259,1036.5,0.6208,664
340100,"Brown University","Providence","RI","2912",2,0,29320,0.0918,0.9452,15164,8792,25005,1425,0.2317,6182
350600,"Meharry Medical College","Nashville","TN","37208",2,0,35692,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
2294800,"Capitol City Careers","Austin","TX","78735",3,0,37885,0.7167,0.46545,9833,8792,27341,1036.5,0.6296,10
369100,"Middlebury College","Middlebury","VT","5753",2,0,42339,0.1716,0.936,17777.5,8792,25025,1391,0.2514,2466
1193400,"Vermont Law School","South Royalton","VT","05068-0096",2,0,28797,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
1033800,"Eastern Virginia Medical School","Norfolk","VA","23507",1,0,28629,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
1124500,"West Virginia School of Osteopathic Medicine","Lewisburg","WV","24901",1,0,37958,0.7167,0.46545,2000,8792,18259,1036.5,0.5926,432.5
2453500,"Medical College of Wisconsin","Milwaukee","WI","53226-0509",2,0,28887,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
301000,"Antioch University-Midwest","Yellow Springs","OH","45387",2,0,39842,0.7857,0.46545,24156,8792,18259,1036.5,0.8534,116
2532600,"Landmark College","Putney","VT","5346",2,0,37186,0.8647,0.2652,9500,8792,33890,1036.5,0.5497,491
2600100,"New York Academy of Art","New York","NY","10013-2911",2,0,28841,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
393810,"Inter American University of Puerto Rico-School of Optometry","Bayamon","PR","957",2,0,28912,0.5362,0.46545,7250,8792,18259,1036.5,0.5926,432.5
2314100,"Schiller International University","Largo","FL","33771",3,0,36405,0.7167,0.2,9500,8792,29292,1036.5,0.7655,128
3090800,"Lake Erie College of Osteopathic Medicine","Erie","PA","16509-1025",2,0,28026,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
341001,"Roger Williams University School of Law","Bristol","RI","02809-5171",2,0,27895,0.8098,0.46545,20670,8792,18259,1036.5,0.5926,432.5
3072800,"Dallas County Technical Center","Louisburg","MO","65685-9152",1,0,29268,0.7167,0.46545,9833,10526,18259,1036.5,0.4167,4
165701,"Midwestern University-Glendale","Glendale","AZ","85308",2,0,42334,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
3374300,"Florida Coastal School of Law","Jacksonville","FL","32256",3,0,45913,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
3367300,"Professional Golfers Career College","Temecula","CA","92591",3,0,30311,0.7167,0.46545,12000,8792,25945,1036.5,0.4825,265
2331300,"Interactive Learning Systems-Pasadena","Pasadena","TX","77502",3,0,43481,0.7167,0.46545,4961.5,8792,9682,1036.5,0.1176,30
3691400,"Ave Maria School of Law","Naples","FL","34119",2,0,27666,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
2284309,"Interactive College of Technology-Gainesville","Gainesville","GA","30504",3,0,43293,0.7167,0.46545,6337.5,8792,12667,1036.5,0.413,35
3218301,"University of the Potomac-VA Campus","Vienna","VA","22182-2536",3,0,41526,0.7167,0.46545,12625,8792,14562,1036.5,0.4211,26
3709300,"Edward Via College of Osteopathic Medicine","Blacksburg","VA","24060",2,0,36730,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
3681300,"California Healing Arts College","Carson","CA","90746-7323",3,0,44931,0.7167,0.46545,9500,8792,19866,1036.5,0.7632,9
2331304,"Interactive Learning Systems-North Houston","Houston","TX","77022",3,0,52745,0.7167,0.46545,4961.5,8792,8255,1036.5,0.2,22
4065300,"Roseman University of Health Sciences","Henderson","NV","89014",2,0,38402,0.7167,0.46545,25000,8792,18259,1036.5,0.8051,264
3695500,"Arizona School of Acupuncture and Oriental Medicine","Tucson","AZ","85712",3,0,27212,0.7167,0.46545,12500,8792,18259,1036.5,0.5926,432.5
4003300,"Blake Austin College","Vacaville","CA","95687",3,0,30355,0.7167,0.46545,9500,8792,24235,1036.5,0.8156,321
3986300,"Aviator College of Aeronautical Science and Technology","Fort Pierce","FL","34946",3,0,61621,0.7,0.46545,9833,8792,72265,1036.5,0.1597,126
4060300,"American Institute of Medical Technology","Tulsa","OK","74146",3,0,27086,0.3034,0.46545,15765.5,8792,4809,1036.5,0.9615,65
4180600,"Appalachian College of Pharmacy","Oakwood","VA","24631",2,0,34139,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
4131400,"Arizona Summit Law School","Phoenix","AZ","85004",3,0,42505,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
4131100,"Yeshiva Toras Chaim","Lakewood","NJ","8701",2,0,30520,1,0.0294,9833,8792,3585,1036.5,0,182
4096300,"Charleston School of Law","Charleston","SC","29403",3,0,38398,0.7167,0.46545,12000,8792,18259,1036.5,0.5926,432.5
3010616,"Virginia College-Montgomery","Montgomery","AL","36117-2800",3,0,27983,1,0.46545,12380.5,8792,11879,1036.5,0.7619,656
1174501,"Ohio Technical College-PowerSport Institute","North Randall","OH","44128",3,0,40669,0.7167,0.46545,12000,8792,20927,1036.5,0.646,267
193700,"Ottawa University-Online","Ottawa","KS","66067",2,1,35041,0.9888,0.46545,17000,8792,18259,1036.5,0.6218,379
4141600,"Omega Studios' School of Applied Recording Arts & Sciences","Rockville","MD","20852",3,0,38727,0.7167,0.46545,6417,8792,18259,1036.5,0.3511,96
4143500,"Charlotte School of Law","Charlotte","NC","28244",3,0,33271,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
4130500,"Pacific Northwest University of Health Sciences","Yakima","WA","98901",2,0,46515,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
2155304,"The Chicago School of Professional Psychology at Westwood","Los Angeles","CA","90024",2,0,26983,0.7167,0.46545,9833,8792,18259,1036.5,0.5926,432.5
4148500,"Medical Institute of Palm Beach","Greenacres","FL","33463",3,0,32844,0.7167,0.46545,9500,8792,14657,1036.5,0.9641,122
