"OPEID","INSTNM","CITY","STABBR","ZIP","CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
831000,"Auburn University at Montgomery","Montgomery","AL","36117-3596",1,0,7625,0.8371,0.2705,10750,11915,18259,970,0.6476,4322
962107,"Herzing University-Birmingham","Birmingham","AL","35209",3,0,8048,0.749,0.1778,12000,8792,22518,1036.5,0.7153,318
102300,"Judson College","Marion","AL","36756",2,0,7626,0.7388,0.4051,14250,8792,17243,1023,0.711,331
102400,"University of West Alabama","Livingston","AL","35470",1,0,9161,0.9957,0.3161,13500,13221,18259,950,0.7193,1988
102800,"Miles College","Fairfield","AL","35064-2621",2,0,5101,0.7167,0.216,12908.5,8792,15217,1036.5,0.9184,1663
101600,"University of North Alabama","Florence","AL","35632-0001",1,0,6530,0.8092,0.3216,12542,11476,18259,1028,0.6883,5536
2296000,"Prince Institute-Southeast","Montgomery","AL","36117",3,0,10722,0.7167,0.46545,12667,8792,20904,1036.5,0.8678,102
106500,"University of Alaska Southeast","Juneau","AK","99801-8697",1,0,6158,0.7167,0.1389,11750,9462,18259,1036.5,0.209,1488
2295000,"Everest College-Phoenix","Phoenix","AZ","85021-1641",3,0,13190,0.7167,0.3175,6338.5,8792,20126,1036.5,0.7408,2761
2100600,"Carrington College-Phoenix","Phoenix","AZ","85051-4063",3,0,11721,1,0.6443,9475,8792,20501,1036.5,0.6062,676
2100611,"Carrington College-Mesa","Mesa","AZ","85210",3,0,13311,1,0.46545,9475,8792,22169,1036.5,0.5289,691
2100607,"Carrington College-Tucson","Tucson","AZ","85705-5885",3,0,11942,1,0.46545,9475,8792,21229,1036.5,0.5356,440
4051325,"Brown Mackie College-Tucson","Tucson","AZ","85712",3,0,10282,0.7167,0.1622,12136.5,8792,19957,1036.5,0.7398,684
2263100,"Anthem College-Phoenix","Phoenix","AZ","85014",3,0,8537,0.7167,0.7996,9934,8792,28541,1036.5,0.8631,2238
1218400,"International Academy of Hair Design","Mesa","AZ","85202-4887",3,0,10192,0.7167,0.46545,8666.5,8792,15463,1036.5,0.7656,210
2071200,"Kaplan College-Phoenix","Phoenix","AZ","85029",3,0,10755,0.7167,0.46545,9500,8792,17360,1036.5,0.5452,93
2623800,"Cortiva Institute-Scottsdale","Scottsdale","AZ","85257",3,0,8057,0.7167,0.46545,7917,8792,15318,1036.5,0.8079,87
2217100,"Pima Medical Institute-Tucson","Tucson","AZ","85716",3,0,6092,0.7167,0.6189,8708,8792,16972,1036.5,0.6147,1726
2217103,"Pima Medical Institute-Albuquerque","Albuquerque","NM","87110",3,0,5951,0.7167,0.46545,8708,8792,15231,1036.5,0.7193,930
1168900,"Refrigeration School Inc","Phoenix","AZ","85034-1816",3,0,10161,0.7167,0.46545,11830.5,8792,20099,1036.5,0.6808,621
2113800,"Roberto-Venn School of Luthiery","Phoenix","AZ","85007",3,0,10356,0.7167,0.46545,7307,8792,18252,1036.5,0.6167,39
711300,"Arizona Christian University","Phoenix","AZ","85032-7097",2,0,10013,0.6076,0.4737,13136.5,8792,22493,1045,0.5183,491
446700,"Tucson College","Tucson","AZ","85711",3,0,12415,0.7167,0.46545,9499,8792,18630,1036.5,0.473,284
110900,"University of Arkansas for Medical Sciences","Little Rock","AR","72205-7199",1,0,11986,0.7167,0.46545,12500,8792,18259,1036.5,0.6322,755
