"OPEID","INSTNM","CITY","STABBR","ZIP","CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
902900,"Neighborhood Playhouse School of the Theater","New York","NY","10022-5017",2,0,16095,0.7167,0.46545,9833,8792,8338,1036.5,0.2353,87
2182200,"New School of Radio and Television","Albany","NY","12206",3,0,16017,0.7167,0.46545,6335,8792,8504,1036.5,0.7797,58
1235800,"Plaza College","Jackson Heights","NY","11372",3,0,588,0.2992,0.7072,8386,8792,11933,1036.5,0.8003,726
397600,"Rabbinical Academy Mesivta Rabbi Chaim Berlin","Brooklyn","NY","11230",2,0,3766,1,0.3889,9833,8792,5675,1036.5,0,164
861400,"Rabbinical College Bobover Yeshiva Bnei Zion","Brooklyn","NY","11219",2,0,7439,0.7167,0.7895,9833,8792,4612,1036.5,0,263
397800,"Rabbinical Seminary of America","Flushing","NY","11367",2,0,2202,0.7167,0.3855,9833,8792,8378,1036.5,0,269
2505900,"Sh'or Yoshuv Rabbinical College","Lawrence","NY","11559-1714",2,0,5000,0.7167,0.5417,9833,8792,5595,1036.5,0,190
506400,"St James Mercy Hospital School of Radiologic Science","Hornell","NY","14843-2197",2,0,5803,1,0.46545,9833,8792,9033,1036.5,0.8065,35
1201100,"Talmudical Seminary Oholei Torah","Brooklyn","NY","11213",2,0,11193,1,0.0667,9833,8792,12029,1036.5,0,321
2191600,"Torah Temimah Talmudical Seminary","Brooklyn","NY","11218",2,0,9404,1,0.0217,5500,8792,7851,1036.5,0,180
1118900,"United Talmudical Seminary","Brooklyn","NY","11211",2,0,13091,0.7167,0.4325,9833,8792,4906,1036.5,0,1814
1192100,"Westchester School of Beauty Culture","Mount Vernon","NY","10550-2295",3,0,1786,0.7167,0.46545,4750,8792,11282,1036.5,0.3118,116
1185900,"Word of Life Bible Institute","Pottersville","NY","12860-0129",2,0,6426,0.7167,0.46545,5500,8792,8242,1036.5,0.4833,562
2505800,"Yeshiva Karlin Stolin","Brooklyn","NY","11204-1545",2,0,6678,1,0.6667,9833,8792,4140,1036.5,0,119
2506800,"Yeshivat Mikdash Melech","Brooklyn","NY","11230-9963",2,0,5753,1,0.0606,5500,8792,1172,1036.5,0,152
2265100,"Yeshiva Derech Chaim","Brooklyn","NY","11218-4413",2,0,3672,1,0.3333,9833,8792,7441,1036.5,0,104
1167000,"Yeshiva of Nitra Rabbinical College","Mount Kisco","NY","10549",2,0,8136,0.7167,0.2813,9833,8792,5245,1036.5,0,220
2152000,"Yeshiva Shaar Hatorah","Kew Gardens","NY","11418",2,0,18194,0.8438,0.8788,9833,8792,5223,1036.5,0,75
1302700,"Yeshivath Viznitz","Monsey","NY","10952",2,0,4401,1,0.7423,9833,8792,5237,1036.5,0,470
1182100,"Yeshivath Zichron Moshe","South Fallsburgh","NY","12779",2,0,4805,1,0,9833,8792,8617,1036.5,0,164
647700,"Cabarrus College of Health Sciences","Concord","NC","28025-3959",2,0,8381,0.3107,0.6944,12750,8792,12996,998,0.6926,440
2210400,"Fayetteville Beauty College","Fayetteville","NC","28303",3,0,12387,0.7167,0.46545,9500,8792,8711,1036.5,0.4483,47
3089300,"Heritage Bible College","Dunn","NC","28334",2,0,7197,0.7167,0.1111,9833,8792,9186,1036.5,0.7887,67
1192600,"Leons Beauty School Inc","Greensboro","NC","27403",3,0,2062,0.7167,0.46545,9833,8792,8229,1036.5,0.4717,143
2227900,"Mitchells Hairstyling Academy-Greenville","Greenville","NC","27858",3,0,4827,0.7167,0.46545,9833,8792,8504,1036.5,0.0789,42
