"OPEID","INSTNM","CITY","STABBR","ZIP","CONTROL","DISTANCEONLY","TUITFTE","ADM_RATE_ALL","C150_4","DEBT_MDN","NPT4_PUB","NPT4_PRIV","SAT_AVG","PCTFLOAN","UGDS"
103600,"Samford University","Birmingham","AL","35229-2240",2,0,17548,0.7697,0.692,20000,8792,24093,1153,0.3653,2995
105000,"Tuskegee University","Tuskegee","AL","36088-1920",2,0,14071,0.3511,0.4384,23687.5,8792,28909,937,0.7374,2584
106100,"Alaska Pacific University","Anchorage","AK","99508",2,0,13615,0.3745,0.3902,19250,8792,30891,1008,0.4587,340
2491500,"Southwest University of Visual Arts-Tucson","Tucson","AZ","85716",3,0,15423,0.7167,0.8333,20000,8792,46298,1036.5,0.6777,216
753100,"Academy of Art University","San Francisco","CA","94105",3,0,23290,0.7167,0.3188,16500,8792,30100,1036.5,0.5957,10300
746501,"American Academy of Dramatic Arts-Los Angeles","Los Angeles","CA","90028",2,0,23029,0.2837,0.46545,9500,8792,41436,1036.5,0.5701,258
111600,"Art Center College of Design","Pasadena","CA","91103",2,0,29955,0.8167,0.6436,31000,8792,43083,1036.5,0.5106,1742
111700,"Azusa Pacific University","Azusa","CA","91702-7000",2,0,18430,0.7985,0.6486,19000,8792,28516,1098,0.5697,6543
112200,"Biola University","La Mirada","CA","90639-0001",2,0,20770,0.7286,0.6819,19688,8792,32140,1123,0.7762,4324
112300,"Brooks Institute","Santa Barbara","CA","93101",3,0,22284,0.98,0.3654,28250,8792,29203,1036.5,0.6944,492
112500,"California Baptist University","Riverside","CA","92504-3297",2,0,18014,0.788,0.5808,19500,8792,23137,984,0.7734,5797
112700,"California College of the Arts","San Francisco","CA","94107-2247",2,0,28276,0.8157,0.6183,24500,8792,30719,1036.5,0.5304,1463
113300,"California Lutheran University","Thousand Oaks","CA","91360-2787",2,0,17980,0.4802,0.7005,19500,8792,28107,1108,0.556,2882
113200,"California Institute of the Arts","Valencia","CA","91355-2397",2,0,28077,0.2992,0.5746,27000,8792,42600,1036.5,0.6211,987
116400,"Chapman University","Orange","CA","92866",2,0,24444,0.4471,0.761,19000,8792,33821,1208,0.6536,5940
1036500,"Charles R Drew University of Medicine and Science","Los Angeles","CA","90059",2,0,18909,0.8889,0.46545,21747,8792,22741,735,0.7407,83
2110200,"Columbia College-Hollywood","Tarzana","CA","91356-1411",2,0,18411,0.548,0.4912,23166,8792,25614,1036.5,0.7604,314
2298000,"Design Institute of San Diego","San Diego","CA","92121",3,0,18916,0.7167,0.6667,22509,8792,23265,1036.5,0.7402,181
119600,"Dominican University of California","San Rafael","CA","94901-2298",2,0,21979,0.7752,0.5387,25222,8792,32053,1057,0.8516,1567
1111200,"Fashion Institute of Design & Merchandising-Los Angeles","Los Angeles","CA","90015-1421",3,0,27124,0.5979,0.6196,12000,8792,38960,1036.5,0.596,3459
1111202,"Fashion Institute of Design & Merchandising-San Francisco","San Francisco","CA","94108-5805",3,0,29371,0.5979,0.5667,12000,8792,36184,1036.5,0.6253,637
